Name,Production,Country of Origin
Steve Acevedo,Queen of the South,United States
Catalina Aguilar Mastretta,Vida,Mexico
Alonso Alvarez,Snowfall ,Mexico 
Nancy C. Mejia,Vida,United States
Gloria Calderon Kellett,Mr. Iglesias,United States
Patricia Cardoso,Tales of the City,Colombia
Michael Cuesta ,City On A Hill,United States
Juan Diego Garcia ,Paranormal Survivor ,Canada
Carlos López Estrada,Legion,Mexico
Fernando Frias,Los Espookys,Mexico
Zetna Fuentes ,Snowfall ,United States
Dana Gonzales,Legion,United States
Victor Gonzalez ,Mr. Iglesias,United States
Sebastian Gutierrez ,Jett,Venezuela 
Ben Hernandez Bray,Queen of the South,United States
Leon Ichaso,Queen of the South,Cuba
Eva Longoria,Grand Hotel,United States
Carmen Marrón,Queen Sugar,United States
Linda Mendoza,Grown-Ish,United States
Joe Menendez ,Siren,United States
Kyle Patrick Alvarez ,Tales of the City,United States
Rebecca Rodriguez,Queen of the South,United States
David Rodriguez ,What/If,United States
Eduardo Sanchez,The InBetween,Cuba
Eduardo Sánchez,Queen of the South,Cuba
Tanya Saracho,Vida,Mexico 
Gigi Saul Guerrero,Into the Dark: Culture Shock,Mexico 
Joaquin Sedillo,Veronica Mars,United States
Batan Silva,Queen of the South,Mexico 
Diego Velasco,Orange is the New Black,United States
Octavio E. Rodriguez,The Epic Tales of Captain Underpants,United States
Rodrigo Blaas,3 Below: Tales of Arcadia,Spain
Francisco Ruiz-Velasco,3 Below: Tales of Arcadia,Mexico
Hernan Otano,Power,United States
David Rodriguez ,Power,United States